Day,Name,Established/Recognized by
March 20,International Day of Francophonie[52],
March 20,International Day of Happiness,UN[13][53]
March 20,World Sparrow Day[54],
March 20,World Rights to Water Day[55],
March 21,Anal Cancer Awareness Day[56],
March 21,Cluster Headache Awareness Day[57],"Promoted by OUCH (Organisation for the Understanding of Cluster Headaches) alongside The European Headache Federation and European Headache Alliance.Cluster headaches are one of the ten most painful conditions known to medical science, with a 1 in 1000 prevalence rate but zero drug research funding."
March 21,Human Rights Day (South Africa)[58],South Africa
March 21,International Colour Day,
March 21,International Day for the Elimination of Racial Discrimination,UN[13]
March 21,World Poetry Day,"UN, UNESCO[13][59]"
March 21,International Day of Nowruz,UN[13][60]
March 21,World Down Syndrome Day,UN[13][61]
March 21,World Puppetry Day,UNIMA
March 21,International Day of Forests,UN[13][62]
March 22,World Water Day,UN[13][63]
March 23,Pakistan Day,
March 23,World Meteorological Day,"UN, WMO, WHO[13][64]"
March 23,National Puppy Day (USA)[65][66],
March 24,World Tuberculosis Day[67],"UN, WHO[13][68]"
March 25,International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade,UN[13][69]
March 25,International Day of the Unborn Child,Catholic Church
March 25,Observance of National Genocide Day[70],BPCA[71]
March 25,EU Talent Day,
March 25,FND Awareness Day UK,For functional neurological disorder and non-epileptic attack disorder[72][73]
March 25,Tolkien Reading Day,
March 26,Bangladesh Independence Day,
March 26,Purple Day for epilepsy,
March 27,World Theatre Day,
March 28,International Laser Tag Day[74],Laser Tag Museum
March 30,World Bipolar Day[75],International Society for Bipolar Disorders
March 31,International Drug Checking Day[76][77][78][79],
March 31,World Backup Day[80],
March 31,International Transgender Day of Visibility,
March (First Saturday of the NCAA Men's Division I Basketball Championship),National Corndog Day (USA),
March (Second Thursday),World Kidney Day,
March 10 or Friday of first full week,Middle Name Pride Day[81],
Monday before Shrove Tuesday,"Nickanan Night, Collop Monday. Hall' Monday[82]",
April 1,April Fools' Day,
April 1,Edible Book Festival,
April 2,World Autism Awareness Day,UN[13][83]
April 2,International Children's Book Day,
April 2,Male Escorts' Day[84],
April 5,National Maritime Day,
April 6,International Day of Sport for Development and Peace,UN[13]
April 6,World Bohring-Opitz Syndrome Awareness Day[85],
April 7,Day of Remembrance of the Victims of the Rwanda Genocide,UN[13][86]
April 7,World Health Day[67],"UN, WHO[13][87]"
April 8,International Romani Day,
April 10,World Homeopathy Day,
April 10,Siblings Day (some countries),
April 11,International Louie Louie Day,
April 12,Equal Pay Day,
April 12,Cosmonautics Day,
April 13,FND Awareness Day[88],functional neurological disorder and conversion disorder.FND Hope since adopted by other groups and medical professionals worldwide.[89][90][91]
April 14,Black Day (South Korea),
April 14,Pohela Boishakh (Bangla New Year's Day),
April 15,Day of Dialogue,
April 15,World Bleeding Disorders Awareness Day,Supported by the World Federation of Hemophilia
April 16,National Healthcare Decisions Day (US)[92],
April 16,Foursquare Day,
April 16,World Voice Day,
April 17,World Haemophilia Day,
April 18,International Day For Monuments and Sites,
April 18,Youth Homelessness Matters Day,"National Youth Coalition for Housing, Australia"
April 19,Bicycle Day,
April 20,420: international day for cannabis-related protests and events,Global cannabis culture[93][94][95]
April 21,Day of Silence,
April 21,National Tea Day,
April 22,Earth Day,
April 22,International Mother Earth Day,UN[13][96]
April 22 (UK),Administrative Professionals' Day,
April 23,World Book and Copyright Day,"UN, UNESCO[13][97]"
April 23,English Language Day[13],
April 24,Armenian Genocide Remembrance Day,
April 24,World Meningitis Day[98],
April 24,Fashion Revolution Day,
April 24,International Sculpture Day,
April 24,World Day for Laboratory Animals,
April 25,DNA day,
April 25,World Malaria Day[67],"UN, WHO[13][99]"
April 25,Parental Alienation Awareness Day,
April 25,ANZAC Day,
April 25,Liberation Day (Italy),
April 26,World Intellectual Property Day,
April 27,King's Day (The Netherlands),
April 27,Freedom Day (South Africa),
April 28,World Day for Safety and Health at Work,"UN, ILO[13][100]"
April 29,Day of Remembrance for all Victims of Chemical Warfare,UN[13][101]
April 29,International Dance Day,UNESCO[102]
April 30,International Jazz Day,UN[13][103]
April (North America: Wednesday of last full week),Administrative Professionals' Day,
Third Thursday of April,National High Five Day (USA),
"April (19th, 18th and 17th have been used)",Record Store Day,
May 1,May Day,
May 1,International Workers' Day,
May 3,World Press Freedom Day,UN[13][104]
May 4,International Firefighters' Day,
May 4,Star Wars Day,
May 5,International Midwives Day,
May 5,Cinco de Mayo,
May 6,International No Diet Day,
May 7,World Password Day[105],
May 7,National Masturbation Day,
May 8,World Red Cross and Red Crescent Day,
May 8–9,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,UN[13][106]
May 9,Europe Day,
May 10,International Migratory Bird Day,North America
May 10,Asian American Pacific Islander Mental Health Awareness Day[107],
May 12,International Nurses Day,
May 15,International Day of Families,UN[13][108]
May 16,International Day of Light,UNESCO
May 17,Shades Day,Family Holiday Association
May 17,"International Day Against Homophobia, Transphobia and Biphobia",UN[13]
May 17,World Telecommunication and Information Society Day,ITU[109]
May 18,World AIDS Vaccine Day,
May 18,International AIDS Candlelight Memorial,
May 18,International Museum Day,
May 20,World Metrology Day,"BIPM, OIML[110]"
May 20,World Bee Day,"UN, FAO[111]"
May 20,Blue Cone Monochromacy International Awareness Day[112],
May 21,World Day for Cultural Diversity for Dialogue and Development,UN[13][113]
May 22,International Day for Biological Diversity,UN[13][114]
May 23,World Turtle Day,
May 24,World Schizophrenia Day 2018,
May 25,Geek Pride Day,
May 25,Towel Day,
May 26,National Paper Airplane Day (USA),
May 29,International Day of UN Peacekeepers,UN[115]
May 31,World No-Tobacco Day[67],"UN, WHO[13][116]"
1st Tuesday of May,World Asthma Day,
1st Sunday in May,World Laughter Day,
2nd Saturday in May,World Fair Trade Day,
3rd Thursday in May,Global Accessibility Awareness Day,
Full moon in May,Vesak[13],
A weekend in May,World Migratory Bird Day,"UN, UNEP[13][117]"
May (Saturday of third full week),International Heritage Breeds Day[118][119] (USA),
June (First Friday),National Donut Day (USA),
June 1,Global Day of Parents,UN[13][123]
June 1,International Children's Day,
June 1,World Milk Day,
June 2,International Whores' Day,
June 3,World Bicycle Day,UN[124]
June 4,International Day of Innocent Children Victims of Aggression,UN[13][125]
June 5,World Environment Day,"UN, UNEP[13][126]"
June 6,D-Day,
June 6,World Pest Day,"CEPA, NPMA[127]"
June 6,National Day of Sweden,
June 8,World Oceans Day,UN[13][128]
June 10,Portugal Day,Portugal
June 12,Anne Frank Day[129],Anne Frank Centre
June 12,International Shia Day[130],
June 12,World Day Against Child Labour[13][131],
June 13,International Albinism Awareness Day,UN[132][133]
June 14,World Blood Donor Day[67],"UN, WHO[13][134]"
June 15,Global Wind Day,
June 16,Youth Day (South Africa),
June 16,International Day of the African Child,AU (OAU)
June 16,Bloomsday,
June 17,World Day to Combat Desertification and Drought,UN[13][135]
June 17,Icelandic National Day,
June 18,Autistic Pride Day,
June 19,World Sickle Cell Day,United Nations General Assembly (63rd session)
June 20,World Refugee Day,UN[13][136]
June 20–21 (Solstice),International Surfing Day,
June 21,World Humanist Day,
June 21,Go Skateboarding Day,
June 21,International Yoga Day,
June 21,"World Music Day, International Day of Yoga, International Day of Purpose, National Indigenous Day (Canada)","UN,[137] Day of Purpose[138]"
June 22,World Kidney Cancer Q&A Day[139],
June 23,International Widow's Day,UN[13][140]
June 24,Take Your Dog to Work Day,
June 25,World Vitiligo Day,VITSAF[141][142]
June 26,International Day against Drug Abuse and Illicit Trafficking,UN[13][143]
June 26,United Nations International Day in Support of Victims of Torture,UN[13][144]
June 26,World Refrigeration Day,
June 27,National PTSD Awareness Day,
June 28 (Also October 22),CAPS LOCK DAY,
June 30,United Nations International Asteroid Day raises public awareness of the asteroid impact hazard,UN[13][145]
3rd Sun in Jun,Father's Day in some countries,
June (Last Saturday),Bundle Day (Switzerland),
July (First Saturday),International Free Hugs Day,
July (First Saturday),International Day of Cooperatives,UN[13][146]
July 1,Somalia Independence Day,
July 1,Canada Day,
July 2,World UFO Day,
July 4,Independence Day (United States),
July 5,X-Day (Church of the SubGenius),
July 6,National Fried Chicken Day (USA),
July 6,International Kissing Day,[147]
July 7,World Chocolate Day,
July 11,World Population Day,UN[13][148]
July 12,Malala Day,UN
July 14,Bastille Day,
July 15,World Youth Skills Day,UN[149]
July 17,World Day for International Justice,
July 17,World Emoji Day[150],
July 18,Nelson Mandela International Day,UN[13][151]
July 21,Belgian National Day,
July 22,Pi Approximation Day,
July 24,International Safe Places To Work Day,Safe Places To Work Movement [152]
July 25,Christmas in July,
July 26,International Day for the Conservation of the Mangrove Ecosystem,UN[153]
July 28,World Hepatitis Day[67],"UN, WHO[13][154]"
July 29,International Tiger Day,
July 30,International Day of Friendship,UN[13][155]
July 30,World Day Against Trafficking in Persons,UN[13][156]
July 30,National Whistleblower Appreciation Day,
July (Last Friday),System Administrator Appreciation Day,
1st Friday in August,International Beer Day,
August 9,International Day of the World's Indigenous People,UN[13][157]
August 12,International Youth Day,UN[13][158]
August 13,International Lefthanders Day,
August 19,World Humanitarian Day,UN[13][159]
August 20,World Mosquito Day,
August 21,World Senior Citizens Day,
August 23,International Day for the Remembrance of the Slave Trade and its Abolition,"UN, UNESCO[13][160]"
August 29,International Day against Nuclear Tests,UN[13][161]
August 30,International Day of the Disappeared,
August 12,Youth Day,
August 26,Women's Equality Day,
3rd Saturday of August,National Honey Bee Day,
August (First Sunday),International Friendship Day,
August (First Friday),International Beer Day,
August (First Wednesday),Professional Engineers Day,
August 25,Christmas in August,
September 1,National Insurance Day (LK),Government of Sri Lanka declared 1 September as the National Insurance Day as a measure to increase public awareness on the importance of insurance.
September 1,Random Acts of Kindness Day (New Zealand),
September 5,International Day of Charity,UN [13]
September 6,Colour Blindness Awareness Day[162],
September 8,International Literacy Day,"UN, UNESCO[13][163]"
September 9,International Fetal Alcohol Spectrum Disorder (FASD) Awareness Day,
September 10,World Suicide Prevention Day,"UN, WHO[13][164]"
September 12,ATSEP Day,Air traffic safety electronics personnel
September 13,RUOK? Day,Depression awareness and suicide prevention (Australia)[165]
September 13,"International Chocolate Day, Birthday of Milton S. Hershey.[166][167][168]",
September 14,National Quiet Day (UK)[169],
September (Third Saturday),Software Freedom Day,
September 15,International Day of Democracy,UN[13][170]
September 16,International Day for the Preservation of the Ozone Layer,UN[13][171]
September 17,World Patient Safety Day,WHO[172]
September 18,World Water Monitoring Day,
September 19,International Talk Like a Pirate Day,
September 21,International Day of Peace,UN[13][173]
September 22,Baltic Unity Day,Seimas of Lithuania and Saeima of Latvia[174]
September 22,World Rhino Day[175],
September 22,Hobbit Day,
September 23,International Day of Sign Languages,UN[176][177]
September 23,Celebrate Bisexuality Day[178],Also known as Bisexual Pride or Bisexual Visibility Day
September 25,World Pharmacists Day[179],International Pharmaceutical Federation
September 25,As You Wish Day,
September 26,European Day of Languages,
September 26,World Contraception Day[180],
September 27,World Tourism Day,"UN, UNWTO[13][181]"
September 28,World Rabies Day,"UN, WHO[13][182]"
September 28,International Right to Know Day[183],
September 28,International Safe Abortion Day[184],
September 28,Ask a Stupid Question Day,
September 29,World Heart Day,"UN, WHO[13][185]"
September 29,International Coffee Day,
September 30,International Translation Day,
October 1,International Day of Older Persons,UN[13][186]
October 1,World Vegetarian Day,
October 1,International Coffee Day,
October 2,International Day of Non-Violence,UN[13][187]
October 2,World Cerebral Palsy Day,
October 4,Cinnamon roll day,Sweden
October 4,eDay,Electronic Waste Awareness Day (New Zealand)
October 5,International Day of No Prostitution[188],
October 5,World Teachers' Day,"UN, UNESCO[13][189]"
October 9,World Post Day,UN[13][190]
October 10,World Mental Health Day,"UN, WHO[13][191]"
October 11,International Day of the Girl Child,UN[13][192]
October 11,World Obesity Day,
October 11,National Coming Out Day,
October 12,World Sight Day,
October 13,World Thrombosis Day,International Society on Thrombosis and Haemostasis World Thrombosis Day[193]
October 13,International Day for Disaster Reduction,UN[13][194]
October 14,World Standards Day,
October 15,Global Handwashing Day,
October 15,White Cane Safety Day,
October 16,"National Boss Day (Boss's Day), World Food Day",
October 16,World Anaesthesia Day,WFSA[195]
October 16,World Food Day,
October 17,International Day for the Eradication of Poverty,UN[13][196]
October 18,World Vasectomy Day[197],
October 20,World Osteoporosis Day[198],
October 20,World Statistics Day,
October 21,International Day of the Nacho,
October 21 (2015 only),Back to the Future Day,
October 22,International Stuttering Awareness Day,
October 22 (also June 28),CAPS LOCK DAY,
October 23,International Cyrus The Great Memorial Day[199][13],"UN,[13] IR"
October 23,Mole Day,
October 24,United Nations Day,UN[13][200]
October 24,World Development Information Day,UN[13][201]
October 27,World Day for Audiovisual Heritage,"UN, UNESCO[13][202]"
October 28,International Animation Day,
October 29,World Stroke Day,
October 29,National Cat Day (USA),
October 30,Mischief Night,
1st Mon in Oct,World Habitat Day,UN[13][203]
day in 1st week in Oct,World Ballet Day,
2nd Thu in Oct,World Sight Day,"UN, WHO,[13][204] IAPB[205]"
1st Fri in Oct,World Smile Day[206],
2nd Sat in Oct,International Migratory Bird Day,South America
October 1–31,National Pizza Month,
October (First Friday),World Smile Day,
October (day in 1st week),World Ballet Day,
November 1,World Vegan Day,
November 2,International Day to End Impunity for Crimes Against Journalists,UN[207]
November 6,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,"UN, WHO[13][208]"
November 7,International African Writers' Day,Pan African Writers' Association[209]
November 8,International Day of Radiology,
November 8,Aaron Swartz Day,Aaron Swartz family and associates[210] Hermes Center (Italy)[211]
November 10,World Science Day for Peace and Development,UNESCO
November 11,Singles' Day,"Chinese people, Alibaba Group"
November 12,World Pneumonia Day,"UN, WHO[13][212]"
November 13,World Kindness Day,
November 14,World Diabetes Day,"UN, WHO[13][213]"
November 14,Children's Day,
November 15,Day of the Imprisoned Writer,PEN International[214]
November 16,International Day for Tolerance,UN[13][215]
November 17,International Students Day,
November 17,World Prematurity Day,
November 19,International Journalist's Remembrance Day,UN[13][216]
November 19,World Toilet Day,UN[217]
November 19,International Men's Day,"(Trinidad and Tobago, Jamaica, Australia, India, United States, Singapore, Malta, United Kingdom, South Africa, Hungary, Ireland, Ghana, Canada, Denmark, Austria, France, Pakistan, Antigua and Barbuda, St. Kitts and Nevis and Grenada)"
November 20,Universal Children's Day,
November 20,Africa Industrialization Day,UN[13][218]
November 21,World Television Day,UN[13][219]
November 21,World Hello Day,
November 25,International Day for the Elimination of Violence against Women,UN[13][220]
November 26,Anti Obesity Day,
November 29,International Day of Solidarity with the Palestinian People,UN[13][221]
3rd Thu in Nov,World Philosophy Day,"UN, UNESCO[13][222]"
3rd Sun in Nov,World Day of Remembrance for Road Traffic Victims,"UN, WHO[13][223]"
1 November,International Lennox-Gastaut Syndrome Awareness Day,
8 November,Intersex Day of Remembrance,
9 November,World Freedom Day,
10 November,World KC Day[224][225],Keratoconus awareness day
11 November,Remembrance Day,
13 November,World Kindness Day[226],
14 November,World Diabetes Day,
17 November,World Prematurity Day,
19 November,World Toilet Day,
19 November,International Men's Day,
20 November,Transgender Day of Remembrance,
20 November,Universal Children's Day,
21 November,World Television Day,
25 November,International Day for the Elimination of Violence against Women,
29 November,International Day of Solidarity with the Palestinian People,
November (First Friday in November),Love Your Lawyer Day[227],
November (Day after Thanksgiving),National Day of Listening (USA),
November 13,World Kindness Day,
November 17,International Students' Day,
November 25–26,Buy Nothing Day,
December 1,World AIDS Day[67],UN[13][228]
December 2,International Day for the Abolition of Slavery,UN[13][229]
December 2,UAE National Day,
December 3,International Day of Persons with Disabilities,UN[13][230]
December 5,World Soil Day,UN: A/RES/68/232
December 5,International Volunteer Day for Economic and Social Development,UN[13][231]
December 7,International Civil Aviation Day,"UN, ICAO[13][232]"
December 9,International Anti-Corruption Day,UN[13][233]
December 10,Human Rights Day,UN[13][234]
December 11,International Mountain Day,UN[13][235]
December 12,Universal Health Coverage Day,
December 14,Monkey Day,
December 16,Victory day of Bangladesh,
December 18,International Migrants Day,UN[13][236]
December 20,International Human Solidarity Day,UN
December 22,National Mathematics Day (India),
December 23,Festivus,
December (Winter Solstice),Global Orgasm,
December (Thursday before Christmas),National Regifting Day (USA),
