Year,Writers,Books,Genre,,,Indra Bahadur Rai
,Shrawan Mukarung,,"Poet, lyricist",,,
,Siddhicharan Shrestha,,"Poet, lyricist",,,
,Subhash Ram Prajapati,,,,,
,Subin Bhattarai,,,,,
,Suman Pokhrel,,"Poet, lyricist, playwright",,,
,Sushma Joshi,,,,,
,Swapnil Smriti,,Poet,,,
,Tara Devi Tuladhar,,,,,
,Tara Nath Sharma,,Writer,,,
,Tarani Prasad Koirala,,Novelist,,,
,Toya Gurung,,,,,
,Tulsi Diwasa,,"Poet, folklorist",,,
,Tulsi Ghimire,,,,,
,Tulsiram Sharma Kashyap,,,,,
1971-,Upendra Subba,,"Poet, short story writer",,,
1867-1941,Yogmaya Neupane,,,,,
1960-,Yuyutsu Sharma,,,,,
,Yogbir Singh Kansakar,,,,,
,Yubraj Nayaghare,,,,,
