year,Dates,Events
1915,22-Jun,Mackensen breaks again through the Russian lines in the Lviv area.
1915,June 23 - July 7,First Battle of the Isonzo.
1915,27-Jun,The Austro-Hungarians re-enter Lviv.
1915,June 28 - July 5,The British win the Battle of Gully Ravine.
1915,29-Jun,Battle of Ngaundere
1915,1-Jul,First aerial victory by a synchronized gun-armed fighter aircraft
1915,,Battle of Otavi.
1915,9-Jul,The German forces in South-West Africa surrender.
1915,July 10-26,Battle of Manzikert.
1915,July 18 - August 3,Second Battle of the Isonzo.
1915,25-Jul,Italians capture Cappuccio Wood.
1915,,First Victoria Cross awarded to a British combat pilot
1915,July 27-31,Battle of Kara Killisse.
1915,5-Aug,The Germans occupy Warsaw.
1915,August 6-10,"Battle of Lone Pine, part of the August Offensive."
1915,August 6-13,"Battle of Krithia Vineyard, part of the August Offensive."
1915,August 6-15,"Allies land at Suvla Bay, a phase of the August Offensive."
1915,August 6-21,"Battle of Sari Bair, part of the August Offensive. Last and unsuccessful attempt by the British to seize the Gallipoli peninsula.[54]"
1915,7-Aug,"Battle of the Nek, a phase of the August Offensive."
1915,August 7-19,"Battle of Chunuk Bair, a phase of the August Offensive."
1915,19-Aug,A German U-Boat sinks the liner SS Arabic. 44 died including 3 Americans
1915,21-Aug,"Scimitar Hill, a phase of the August Offensive."
1915,,Italy declares war on the Ottoman Empire.
1915,August 21-29,"Battle of Hill 60, part of the August Offensive."
1915,August 26 - September 19,"Sventiany Offensive, a phase of the Gorlice-Tarnow Offensive."
1915,1-Sep,Germany suspends unrestricted submarine warfare.
1915,September 5-8,"The Zimmerwald Conference of anti-militarist European socialist parties is held in Zimmerwald, Switzerland."
1915,8-Sep,"Nicholas II removes Grand Duke Nicholas Nikolayevich as Commander-in-Chief of the Russian Army, personally taking that position."
1915,September 15 - November 4,Third Battle of Artois.
1915,19-Sep,The Germans occupy Vilnius. The Gorlice-Tarnów Offensive ends.
1915,September 25-28,"Battle of Loos, a major British offensive, fails."
1915,September 25 - October 15,"Battle of the Hohenzollern Redoubt, a phase of the Battle of Loos."
1915,September 25 - November 6,Second Battle of Champagne.
1915,28-Sep,Battle of Es Sinn.
1915,October 7 - December 4,"Serbia is invaded by Germany, Austria-Hungary, and Bulgaria."
1915,12-Oct,Edith Cavell executed.
1915,14-Oct,Bulgaria declares war on Serbia[24]
1915,October 14 - November 9,"Morava Offensive, a phase of the Central Powers Invasion of Serbia, Bulgarians break through Serbian lines."
1915,October 14 - November 15,"Ovche Pole Offensive, a phase of the Central Powers invasion of Serbia, Bulgarians break through Serbian lines."
1915,15-Oct,The United Kingdom declares war on Bulgaria.
1915,,Montenegro declares war on Bulgaria.[24]
1915,16-Oct,France declares war on Bulgaria.[24]
1915,October 17 - November 21,"Battle of Krivolak, first of the Salonika Front."
1915,October 18 - November 4,Third Battle of the Isonzo
1915,19-Oct,Italy and Russia declare war on Bulgaria.[24]
1915,27-Oct,Andrew Fisher resigns as Prime Minister of Australia; he is replaced by Billy Hughes.
1915,29-Oct,René Viviani resigns as Prime Minister of France; he is replaced by Aristide Briand.
1915,November 4-6,Battle of Banjo.
1915,10-Nov,Pro-Central Powers Iranians seize Shiraz from pro-Entente forces and arrest all British citizens in the city.
1915,November 10 - December 2,Fourth Battle of the Isonzo
1915,November 10 - December 4,"Kosovo Offensive, a phase of the Central Powers invasion of Serbia, Serbians pushed into Albania."
1915,November 14-30,Russian forces from the Caucasus occupy Tehran.
1915,17-Nov,"Armed by Ottomans and Germans, the Libyan Senussi cross the border and attack Egypt from the west."
1915,November 22-25,"Battle of Ctesiphon, in present-day Iraq.[56]"
1915,27-Nov,The Serbian army collapses. It will retreat to the Adriatic Sea and be evacuated by the Italian and French Navies.
1915,"December - July, 1916",Battle of Lake Tanganyika.
1915,December 6-12,Battle of Kosturino
1915,7-Dec,"The First Siege of Kut, Mesopotamia, by the Ottomans begins.[57]"
1915,15-Dec,Russians occupy Hamadan.
1915,19-Dec,Douglas Haig replaces John French as commander of the British Expeditionary Force.
1915,23-Dec,Carl Zimmermann orders the retreat of all German forces and civilians in Kamerun to the Spanish colony of Rao Muni.
1916,January 5-17,"Austro-Hungarian offensive against Montenegro, which capitulates."
1916,January 6-7,Battle of Mojkovac
1916,January 6-8,"Battle of Sheikh Sa'ad, a phase of the First Siege of Kut."
1916,9-Jan,The Gallipoli Campaign ends in an Allied defeat and an Ottoman victory.[58]
1916,January 10 - February 16,Battle of Erzurum.
1916,11-Jan,Corfu occupied by the Allies.
1916,13-Jan,"Battle of Wadi, a phase of the First Siege of Kut."
1916,21-Jan,"Battle of Hanna, a phase of the First Siege of Kut."
1916,24-Jan,Reinhard Scheer is appointed commander of Germany's Hochseeflotte.[59]
1916,27-Jan,Conscription introduced in the United Kingdom by the Military Service Act 1916.[60]
1916,February 5 - April 15,Trebizond Campaign.
1916,12-Feb,Battle of Salaita Hill.
1916,21-Feb,The Battle of Verdun begins.[61]
1916,26-Feb,Battle of Agagia: Senussi rebellion suppressed by the British.
1916,28-Feb,German Kamerun (Cameroon) surrenders.
1916,1-Mar,Germany resumes unrestricted submarine warfare.
1916,March 1-15,Fifth Battle of the Isonzo.
1916,March 2 - August 4,Battle of Bitlis.
1916,8-Mar,Battle of Dujaila: a British attempt to relieve Kut failed.
1916,9-Mar,Germany declares war on Portugal.[24] Portugal officially enters the war.
1916,March 11-12,Battle of Latema Nek.
1916,14-Mar,"The Manifesto of the Sixteen, declaring Kropotkinist-anarchist support of the Allied war effort, is published."
1916,15-Mar,Austria-Hungary declares war on Portugal.[24]
1916,March 16 - November 6,British preemptively occupy the Sultanate of Darfur and annex it to the Anglo-Egyptian Sudan.
1916,18-Mar,Battle of Kahe.
1916,March 18 - April,Lake Naroch Offensive.
1916,April 24-29,Easter Rising by Irish rebels for independence from the United Kingdom.
1916,April 24-30,"The Kienthal Conference, the second meeting of the anti-war socialist Zimmerwald Movement, is held in Kienthal, Switzerland."
1916,April 27-29,Gas attacks at Hulluch.
1916,29-Apr,"The British forces under siege at Kut surrender to the Ottomans, first siege of Kut ends."
1916,May 7-10,Battle of Kondoa Irangi.
1916,10-May,Germany suspends unrestricted submarine warfare.
1916,May 15 - June 10,Austro-Hungarian Strafexpedition in Trentino.
1916,16-May,Signing of the Sykes-Picot Agreement between Britain and France defining their proposed spheres in the Middle East.
1916,18-May,"Russian forces in Persia link up with the British in Mesopotamia, but it is too late."
1916,May 31 - June 1,Battle of Jutland between Britain's Grand Fleet and Germany's Hochseeflotte.
1916,June 2-14,Battle of Mont Sorrel.
1916,3-Jun,Russians fail to encircle Ottoman forces in Persia.
1916,4-Jun,The Brusilov Offensive begins.
1916,5-Jun,The Arab Revolt in Hejaz begins.
1916,5-Jun,HMS Hampshire is sunk off the Orkney Islands; Lord Kitchener dies.
1916,10-Jun,Italy: Paolo Boselli succeeds Antonio Salandra as Prime Minister.
1916,10-Jun,The Siege of Medina begins.
1916,June 10 - July 4,"Battle of Mecca, Arabs capture the city."
1916,12-Jun,Percy Sykes marches on Kerman to link up with the Russian forces in central-northern Persia.
1916,30-Jun,"Battle of the Boar's Head, diversion from the Battle of the Somme which began the next day."
1916,July,Battle of Taif.
1916,1-Jul,The Battle of the Somme begins.
1916,July 1-3,The Social Democratic Party wins a majority in the parliament of the Russian-ruled Grand Duchy of Finland.
1916,July 1-13,Second Battle of Albert (Opening phase of the Battle of the Somme).
1916,July 1-2,British capture Fricourt during the Second Battle of Albert.
1916,2-Jul,Ottoman counter-attack into Persia reaches Kermanshah.
1916,July 2-25,Battle of Erzincan.
1916,July 3-7,British capture La Boisselle during the Second Battle of Albert.
1916,July 3-12,British capture Mametz Wood during the Second Battle of Albert.
1916,July 3-17,British capture Ovillers during the Second Battle of Albert and Battle of Bazentin Ridge.
1916,July 4-6,Battle of Kostiuchnowka.
1916,July 7-11,British capture Contalmaison during the Second Battle of Albert.
1916,July 8-14,British capture Trônes Wood during the Second Battle of Albert.
1916,July 14-17,Battle of Bazentin Ridge (Initial phase of the Battle of the Somme)
1916,July 14 - September 15,Battles for Longueval and Delville Wood (Initial phase of the Battle of the Somme)
1916,July 19-20,Battle of Fromelles (Initial phase of the Battle of the Somme).
1916,July 23 - August 7,Battle of Pozières (Initial phase of the Battle of the Somme)
1916,July 24 - August 8,Battle of Kowel.
1916,30-Jul,"German agents sabotage munition factories in Jersey City that supply the Allies, causing the Black Tom explosion."
1916,August 3-5,Battle of Romani. Ottoman attack on the British in the Sinai peninsula fails.
1916,August 6-17,Sixth Battle of the Isonzo. The Italians capture Gorizia (August 9).
1916,6-Aug,"Battle of Doberdo, part of the Sixth Battle of Isonzo."
1916,August 9-18,First battle of Doiran.
1916,10-Aug,Ottomans take Hamadan.
1916,24-Aug,Battle of Mlali.
1916,27-Aug,Romania enters the war on the Entente's side. Her army is defeated in a few weeks.
1916,August 27 - December,Conquest of Romania by Central Powers.
1916,August 27 - November 26,"Battle of Transylvania, a phase of the conquest of Romania."
1916,28-Aug,Italy declares war on Germany.[24][49]
1916,29-Aug,Paul von Hindenburg replaces Erich von Falkenhayn as German Chief of Staff.
1916,30-Aug,The Ottoman Empire declares war on Romania.[24]
1916,1-Sep,Bulgaria declares war on Romania.[24]
1916,September 2-6,"Battle of Turtucaia, a phase of the conquest of Romania."
1916,September 3-6,Battle of Guillemont (intermediate phase of the Battle of the Somme)
1916,September 5-7,"Battle of Dobrich, a phase of the conquest of Romania."
1916,6-Sep,The Central Powers create a unified command.
1916,September 7-11,Battle of Kisaki.
1916,September 8-19,Battle of Tabora.
1916,9-Sep,Battle of Ginchy (intermediate phase of the Battle of the Somme)
1916,September 9-11,Battle of Dutumi.
1916,September 12 - December 11,"Monastir Offensive, set up of the Salonika Front."
1916,September 12-14,"Battle of Malka Nidzhe, a phase of the Monastir Offensive."
1916,September 12-30,"Battle of Kaymakchalan, a phase of the Monastir Offensive."
1916,September 14-17,Seventh Battle of the Isonzo
1916,September 15-22,Battle of Flers-Courcelette; the British use armored tanks for the first time in history.
1916,September 17-19,"First Battle of Cobadin, a phase of the conquest of Romania."
1916,20-Sep,The Brusilov Offensive ends with a substantial Russian success.
1916,September 25-28,Battle of Morval (part of the final stages of the Battle of the Somme)
1916,September 26-28,Battle of Thiepval Ridge (part of the final stages of the Battle of the Somme)
1916,September 29 - October 5,"Flamanda Offensive, a phase of the conquest of Romania."
1916,October-November,"First Battle of the Cerna Bend, a phase of the Monastir Offensive."
1916,October 1 - November 5,Battle of Le Transloy (last stage of the Battle of the Somme)
1916,October 1 - November 11,Battle of Ancre Heights (last stage of the Battle of the Somme).
1916,October 9-12,Eighth Battle of the Isonzo.
1916,"October 14 - January 6, 1917",Battle of Kibata.
1916,October 19-25,"Second Battle of Cobadin, a phase of the conquest of Romania."
1916,24-Oct,The French recapture Fort Douaumont near Verdun.
1916,November 1-4,Ninth Battle of the Isonzo.
1916,11-Nov,Battle of Matamondo.
1916,November 13-18,Battle of the Ancre (closing phase of the Battle of the Somme)
1916,18-Nov,The Battle of the Somme ends with enormous casualties and an Anglo-French advantage.
1916,21-Nov,HMHS Britannic sinks after hitting a German mine
1916,21-Nov,"Francis Joseph I, Emperor of Austria and King of Hungary, dies and is succeeded by Charles I."
1916,25-Nov,David Beatty replaces John Jellicoe as commander of the Grand Fleet. Jellicoe becomes First Lord of the Sea.
1916,November 25 - December 3,"Battle of Bucharest, a phase of the conquest of Romania."
1916,28-Nov,"Prunaru Charge, a phase of the Battle of Bucharest, Romanian cavalry desperately charge into enemy lines."
1916,1-Dec,"Battle of the Arges, a phase of the Battle of Bucharest."
1916,"December 1 - January 18, 1917",Allies capture Yanbu.
1916,December 3-6,"In a four-day crisis December 3-6, 1916, H. H. Asquith is unaware how fast he is losing support. David Lloyd George now has growing Unionist support, the backing of Labour and (thanks to Christopher Addison)  a majority of Liberal MPs. Asquith falls."
1916,December 7-31,"The new Prime Minister Lloyd George answers the loud demands for a much more decisive government. He energetically sets up a new small war cabinet, a cabinet secretariat under Maurice Hankey, a secretariat of private advisors in the 'Garden Suburb' and moved towards prime ministerial control.[62]"
1916,6-Dec,The Germans occupy Bucharest. The capital of Romania moved to Iaşi.
1916,13-Dec,Robert Nivelle replaces Joseph Joffre as Commander-in-Chief of the French Army.
1916,17-Dec,Kaocen Revolt: The Tuareg besiege the French garrison at Agadez.
1916,18-Dec,Battle of Verdun ends with enormous casualties on both sides.
1916,23-Dec,Battle of Magdhaba in the Sinai peninsula.[63]
1916,December 23-29,Christmas Battles.
1916,27-Dec,Togoland is divided into British and French administrative zones.
1916,30-Dec,"Grigori Rasputin, Russia's éminence grise, is assassinated."
1917,January 3-4,Battle of Behobeho.
1917,9-Jan,Battle of Rafa. The British drive the Ottomans out of Sinai.
1917,January 11 - March 13,British raid the Ancre.
1917,16-Jan,"The German Foreign Secretary Arthur Zimmermann sends a telegram to his ambassador in Mexico, instructing him to propose to the Mexican government an alliance against the United States."
1917,1-Feb,Germany resumes unrestricted submarine warfare.
1917,13-Feb,Mata Hari is arrested in Paris on charges of spying for the Germans.
1917,23-Feb,Second Battle of Kut. The British recapture the city.
1917,February 23 - April 5,The Germans withdraw to the Hindenburg Line.
1917,1-Mar,Arz von Straussenberg replaces Conrad von Hötzendorf as Austro-Hungarian Chief of Staff.
1917,3-Mar,The French relieve Agadez.
1917,March 8-11,The British capture Baghdad.
1917,8-Mar,The celebrations of the International Women's Day in Petrograd spawn severe protests that will evolve into the February Revolution.
1917,12-Mar,"Russian troops refuse to fire on demonstrators after 50 are killed in Petrograd's Znamenskaya Square the day before. Numerous attacks against prisons, courts, police stations and Okhrana offices.Provisional Committee of the Duma formed.Petrograd Soviet formed."
1917,13-Mar,Battle of Nambanje.
1917,March 13 - April 23,"Samarrah Offensive, British capture much of Mesopotamia."
1917,14-Mar,China severs relations with Germany.[24]
1917,15-Mar,Nicholas II abdicates. A provisional government is formed.
1917,16-Mar,Lenin arrives in Petrograd from his exile in Switzerland and publishes his April Thesis.
